,word,definition,frequency
1188,εὐάς,"
		one who cries
    	",1
1189,εὐάζω,"
		cry
    	",1
1190,θεμιστός,"
		oracular
    	",1
1191,καρπάλιμος,"
		swift
    	",3
1192,ἄντρον,"
		cave,
    	",3
1193,ἔνδον,"
		within
    	",2
1194,ἐνδίδωμι,"
		give in
    	",2
1195,εὑρίσκω,"
		find
    	",1
1196,νομεύω,"
		put to graze, drive afield,
    	",1
1197,νόμος,"
		that which is in habitual practice, use
    	",1
1198,νομός,"
		herbage
    	",1
1199,θεάομαι,"
		gaze at, behold
    	",1
1200,ταρσόομαι,"
		to be like basket-work, to be matted
    	",1
1201,ταρσός,"
		frame of wicker-work, crate, flat basket
    	",1
1202,ταρσόω,"
		provide with a
    	",1
1203,τυρέω,"
[definition unavailable]
",3
1204,τυρός,"
		cheese,
    	",3
1205,βρίθω,"
		to be heavy
    	",1
1206,στείνω,"
		make strait, straiten, confine, crowd
    	",1
1207,σηκός,"
		pen, fold
    	",1
1208,σηκόω,"
		weigh, balance,
    	",1
1209,ἀρνός,"
		wool
    	",1
1210,ἔριφος,"
		kid,
    	",1
1211,διακρίνω,"
		separate one from another,
    	",1
1212,ἔργνυμι,"
		to confine
    	",1
1213,χωρίς,"
		separately, apart,
    	",3
1214,πρόγονος,"
		early-born,
    	",1
1215,μέτασσα,"
		thereafter,
    	",1
1216,αὖθι,"
		on the spot, here, there,
    	",1
1217,αὖτε,"
		again,
    	",6
1218,ἕρση,"
		dew,
    	",1
1219,ἔρσα,"
		dew
    	",1
1220,ὄρον,"
		implement for pressing grapes,
    	",1
1221,ἄγγος,"
		vessel
    	",1
1222,γαῦλος,"
		a round-built Phoenician merchant vessel
    	",1
1223,γαυλός,"
		milk-pail
    	",1
1224,σκαφίς,"
		boat, skiff
    	",1
1225,ἐναμέλγω,"
		milk into
    	",1
1226,πρώτιστος,"
		the very first
    	",1
1227,λίσσομαι,"
		beg, pray
    	",1
1228,λίζω,"
[definition unavailable]
",1
1229,αἴνυμαι,"
		take
    	",1
1230,σηκάζω,"
		shut up in a pen
    	",1
1231,ἐξελαύνω,"
		drive out,
    	",1
1232,ἐπιπλέω,"
		sail upon
    	",2
1233,ἁλμυρός,"
		salt, briny,
    	",2
1234,κερδαίνω,"
		gain, derive profit
    	",1
1235,κερδίων,"
		more profitable
    	",1
1236,ἰδέω,"
[definition unavailable]
",1
1237,ξένιος,"
		belonging to friendship and hospitality, hospitable,
    	",2
1238,ξενία,"
		hospitality shown to a guest, entertainment,
    	",2
1239,δοιάζω,"
		consider in two ways, be in two minds:
    	",1
1240,δοιή,"
		doubt, perplexity,
    	",1
1241,μέλλω,"
		to be destined
    	",1
1242,ἐρατεινός,"
		lovely,
    	",1
1243,εἰσίημι,"
		sendinto,
    	",1
1244,πῦρ,"
		fire
    	",1
1245,πυρά,"
		watch-fires
    	",3
1246,πυρά2,"
		funeral-pyre
    	",3
1247,πυράζω,"
		singe
    	",3
1248,πυρεύς,"
		one who lights fire
    	",3
1249,πυρή,"
		any place where fire is kindled
    	",3
1250,θύω,"
		offer by burning
    	",1
1251,θύω2,"
		rage, seethe
    	",1
1252,ἕως,"
		until, till
    	",2
1253,νέμος,"
		wooded pasture, glade,
    	",1
1254,νέμω,"
		deal out, dispense,
    	",1
1255,ὄβριμος,"
		strong, mighty,
    	",3
1256,ἄχθος,"
		burden, load,
    	",1
1257,Ὑλεύς,"
		Ringwood,
    	",1
1258,ἀζαλέος,"
		dry, parched
    	",1
1259,ποτιδόρπιος,"
		of
    	",2
1260,ἔντοσθε,"
		from within,
    	",1
1261,βηλός,"
		threshold
    	",1
1262,ὀρυμαγδός,"
		loud noise, din,
    	",1
1263,ἀπέσσουα,"
		he is gone off
    	",2
1264,μυχός,"
		innermost part, nook, corner
    	",1
1265,εὐρύς,"
		wide, broad
    	",1
1266,ἐλαύνω,"
		drive, set in motion
    	",1
1267,μαλίς,"
[definition unavailable]
",2
1268,ἀμέλγω,"
		milk,
    	",2
1269,ἄρσην,"
		NT,
    	",1
1270,λείπω,"
		leave, quit
    	",1
1271,θύρα,"
		door
    	",1
1272,ἄρνειος,"
		of a lamb
    	",1
1273,ἀρνειός,"
		ram, wether
    	",1
1274,τράγος,"
		he-goat,
    	",1
1275,ἔκτοθεν,"
		from without, outside
    	",2
1276,ἐπιτίθημι,"
		lay, put
    	",1
1277,θυρεός,"
		stone put against a door
    	",3
1278,ὕψος,"
		height,
    	",2
1279,ὑψόσε,"
		aloft, on high,
    	",2
1280,ἀείρω,"
		attach
    	",4
1281,εἰκοσάς,"
		score
    	",1
1282,ἄμαξα,"
		frame-work, 'châssis'
    	",1
1283,ἐσθλός,"
		good
    	",1
1284,τετράκυκλος,"
		four-wheeled
    	",1
1285,ὀχλίζω,"
		move by a lever, heave up
    	",1
1286,τόσος,"
		so great, so vast
    	",1
1287,ἠλίβατος,"
		high, steep
    	",1
1288,πέτρα,"
		rock
    	",2
1289,μοῖρα,"
		part
    	",1
1290,μοιράω,"
		share, divide, distribute
    	",1
1291,μοιράζω,"
[definition unavailable]
",1
1292,ἔμβρυον,"
		young one
    	",3
1293,ἔμβρυος,"
		growing in
    	",3
1294,ἥκω,"
		to have come, be present
    	",1
1295,ἥμισυς,"
		half
    	",2
1296,τρέφω,"
		thicken
    	",1
1297,λευκόω,"
		whiten over
    	",1
1298,γάλα,"
		lac
    	",1
1299,πλεκτός,"
		plaited, twisted,
    	",1
1300,τάλαρος,"
		basket
    	",1
1301,κατατίθημι,"
		place, put, lay down
    	",1
1302,σπεύδω,"
		set going, urge on, hasten
    	",3
1303,πονέομαι,"
		be engaged in
            toil, toil, labor, be busy
    	",3
1304,πονέω,"
		work hard,
    	",3
1305,ἔα,"
		ha! oho
    	",3
1306,ἔα2,"
[definition unavailable]
",3
1307,ἔργον,"
		weorc
    	",1
1308,ἐργάζομαι,"
		work, labour,
    	",1
1309,ἀνακαίω,"
		kindle, light up,
    	",2
1310,ᾤα,"
		sheepskin,
    	",1
1311,ὦ,"
		O! oh!
    	",1
1312,ὦ2,"
[definition unavailable]
",1
1313,ᾦον2,"
[definition unavailable]
",1
1314,ᾠόν,"
		egg,
    	",1
1315,ξενόω,"
		make one's friend and guest, entertain,
    	",1
1316,πόθεν,"
		whence?
    	",1
1317,ποθεν,"
		from some place
    	",1
1318,ὑγράζω,"
		to be wet
    	",1
1319,ὑγρός,"
		wet, moist, fluid
    	",1
1320,κέλευθος,"
		road, path
    	",2
1321,πρᾶξις,"
		doing, transaction, business,
    	",1
1322,μαψίδιος,"
		vain, false
    	",1
1323,ἀλάλημαι,"
		wander, roam about
    	",1
1324,ἀλαλάω,"
		make dumb
    	",1
1325,ἀλαλάζω,"
		raise the war-cry
    	",1
1326,ληιστήρ,"
		a robber
    	",1
1327,λῃστήρ,"
		robber
    	",1
1328,ὑπέρ,"
		upaári
    	",1
1329,ὑπείρ,"
[definition unavailable]
",1
1330,ἀλάομαι,"
		wander, roam
    	",1
1331,ἀλόω,"
[definition unavailable]
",1
1332,ἀλοάω,"
		tread, thresh,
    	",1
1333,ψυχάζω,"
		refresh oneself in the shade,
    	",2
1334,ψυχή,"
		life,
    	",2
1335,παρατίθημι,"
		place beside
    	",1
1336,κατακλάω,"
		to break down, break short, snap off
    	",1
1337,κατακλάω2,"
		break short, snap off
    	",1
1338,φθόγγος,"
		any clear, distinct sound,
    	",1
1339,βαρύς,"
		heavy in weight,
    	",1
1340,πέλωρον,"
		portents
    	",1
1341,πέλωρος,"
		monstrous, prodigious, huge
    	",1
1342,ἀμείβω,"
		change, exchange,
    	",1
1343,προσεῖπον,"
		speak to
    	",2
1344,ἀποπλάζω,"
		lead away from,
    	",1
1345,παντοῖος,"
		of all sorts
    	",1
1346,ὒ,"
[definition unavailable]
",1
1347,λαῖτμα,"
		depth
    	",2
1348,οἴκαδε,"
		to one's house, home,
    	",1
1349,ὀδούς,"
		tooth,
    	",1
1350,ὀδών,"
[definition unavailable]
",1
1351,οὕτως,"
		in this way
    	",2
1352,πού,"
		anywhere, somewhere
    	",1
1353,πού2,"
		somewhere, anywhere; methinks, doubtless, perhaps.
    	",1
1354,ποῦ,"
		where?
    	",1
1355,μητίομαι,"
		devise, contrive
    	",1
1356,λάω,"
		to behold, look upon
    	",1
1357,λάω2,"
		seize, hold
    	",1
1358,λάζω,"
[definition unavailable]
",1
1359,Ἀτρείδης,"
		son of Atreus,
    	",1
1360,Ἀγαμέμνων,"
		Agamemnon,
    	",1
1361,εὔχομαι,"
		pray
    	",1
1362,ὑπουράνιος,"
		under heaven, under the sky,
    	",1
1363,διαπέρθω,"
		destroy utterly, sack, waste,
    	",1
1364,ἀπόλλυμι,"
		destroy utterly, kill,
    	",1
1365,κιχάνω,"
		reach, hit
    	",1
1366,σής,"
		moth
    	",1
1367,σῶς,"
[definition unavailable]
",1
1368,γόνυ,"
		knee
    	",1
1369,πόρος,"
		means of passing a river, ford, ferry,
    	",1
1370,πορόω,"
		furnish with pores,
    	",1
1371,ξεινήιον,"
		a host's gift
    	",2
1372,ἄλλως,"
		otherwise,
    	",1
1373,δωτίνη,"
		gift, present
    	",1
1374,φέριστος,"
[definition unavailable]
",1
1375,ἱκέτης,"
		one who comes to seek aid
    	",1
1376,ἐπιτιμήτωρ,"
		avenger,
    	",1
1377,Ἱκετάων,"
[definition unavailable]
",1
1378,αἰδοῖον,"
		privy parts, pudenda
    	",1
1379,αἰδοῖος,"
		having a claim to regard, reverence
    	",1
1380,ὀπαδέω,"
		to follow, accompany, attend
    	",1
1381,ὀπηδέω,"
		follow, accompany, attend,
    	",1
1382,Νηλεύς,"
		Neleus,
    	",3
1383,θυμόω,"
		make angry, provoke
    	",5
1384,ξέω,"
		—shave
    	",1
1385,τηλόθεν,"
		from after
    	",1
1386,ἀλέω,"
		grind, bruise
    	",2
1387,ἀλέω2,"
[definition unavailable]
",2
1388,ἀλεάζω,"
		to be warm
    	",2
1389,ἀλεάζω2,"
[definition unavailable]
",2
1390,Μάκαρ,"
[definition unavailable]
",2
1391,μάκαρ,"
		blessed, happy
    	",2
1392,μάκαρος,"
[definition unavailable]
",2
1393,φέρτατος,"
		bravest, best,
    	",1
1394,ἔχθος,"
		hate
    	",1
1395,ἐχθός,"
		outside
    	",1
1396,ἀλέομαι,"
		avoid, shun
    	",1
1397,φείδομαι,"
		spare
    	",1
1398,ὅπη,"
		by which
    	",1
1399,ὀπή,"
		opening, hole,
    	",1
1400,Ἴων,"
		the Ionians
    	",1
1401,Ἰώ,"
		the moon
    	",1
1402,ἴα,"
		one
    	",1
1403,ἴα2,"
		violet,
    	",1
1404,ἴον,"
		violet, Viola odorata
    	",1
1405,ἰά,"
		voice, cry
    	",1
1406,ἰά2,"
		arrow
    	",1
1407,ἰάζω,"
[definition unavailable]
",1
1408,ἰάζω2,"
		cry aloud
    	",1
1409,ἰάζω3,"
		to be of a violet colour
    	",1
1410,ἰός,"
		poison
    	",1
1411,ἰωνίς,"
		a water bird
    	",1
1412,ἰωνός,"
		fish
    	",1
1413,κερατέα,"
		the carob
    	",1
1414,δάω,"
		learn
    	",1
1415,πειράζω,"
		make proof
    	",1
1416,ἄψορρος,"
		going back, backwards,
    	",2
1417,δόλιος,"
		crafty, deceitful, treacherous,
    	",1
1418,δολίζω,"
		adulterate,
    	",1
1419,δολιόω,"
		deal treacherously with
    	",1
1420,νέα,"
[definition unavailable]
",1
1421,νέος,"
		young, youthful
    	",2
1422,νεάζω,"
		to be young
    	",1
1423,κατάγνυμι,"
		Cat.Cod. Astr.
    	",1
1424,κατεάσσω,"
		break
    	",1
1425,Ποσειδῶν,"
		Poseidon
    	",2
1426,Ἐνοσίχθων,"
		Earth-shaker,
    	",2
1427,ὑμός,"
		your,
    	",1
1428,πείρασις,"
		attempt
    	",1
1429,πείρω,"
		pierce, run through
    	",1
1430,πεῖραρ,"
		end, limit
    	",1
1431,ἄκρα,"
		highest
    	",1
1432,ἄκρις,"
		mountain
            - top
    	",1
1433,ἄκρος,"
		at the farthest point
    	",1
1434,ἐκρέω,"
		flow out
    	",1
1435,προσπελάζω,"
		cause to approach, bring near to
    	",1
1436,ποντίζω,"
		plunge
    	",1
1437,ποντόω,"
		throw into the sea,
    	",1
1438,ὑπεκφεύγω,"
		flee away
    	",1
1439,αἰπύς,"
		high and steep
    	",2
1440,ἀνᾴσσω,"
[definition unavailable]
",1
1441,ἀναίσσω,"
		dart up, spring up;
    	",1
1442,χειράς,"
		chap, crack,
    	",2
1443,ἰάλλω,"
		send forth
    	",1
1444,μάρπτω,"
		take hold of
    	",3
1445,σκύλαξ,"
		young dog, puppy
    	",1
1446,σκυλάκη,"
[definition unavailable]
",1
1447,σκυλακεύς,"
[definition unavailable]
",1
1448,πότης,"
		drinker, tippler, toper,
    	",1
1449,πότις,"
[definition unavailable]
",1
1450,κόπτω,"
		cut, strike
    	",1
1451,κοπτή,"
[definition unavailable]
",1
1452,κοπτόν,"
[definition unavailable]
",1
1453,κοπτός,"
		chopped small
    	",1
1454,ἐγκέφαλος,"
		that which is within the head, the brain
    	",1
1455,χαμάδις,"
		to the ground, on the ground,
    	",1
1456,δεύω,"
		wet, drench,
    	",1
1457,μελειστί,"
		limb from limb
    	",1
1458,τέμνω,"
		cut
    	",1
1459,τέμνω2,"
		ā-cāmati
    	",1
1460,ὁπλίζω,"
		make
    	",3
1461,δόρπον,"
		evening meal,
    	",2
1462,δόρπος,"
[definition unavailable]
",2
1463,λέων,"
		lion
    	",1
1464,λεάζω,"
		to be smooth
    	",1
1465,ὀρεσίτροφος,"
		mountain-bred.
    	",1
1466,ὀρεσιτρόφος,"
		mountain-bred
    	",1
1467,ἀπολιμπάνω,"
		to leave
    	",1
1468,ἔγκατα,"
		inwards, entrails
    	",1
1469,σάρξ,"
		flesh
    	",1
1470,σαρκάω,"
[definition unavailable]
",1
1471,σαρκάζω,"
		tear fiesh like dogs
    	",1
1472,ὀστέον,"
		d)Fr.
    	",1
1473,μυελόεις,"
		full of marrow
    	",1
1474,σχέτλιος,"
		able to hold out, unwearying, unflinching
    	",1
1475,σχετλιάζω,"
		complain of hardship, utter indignant complaints
    	",1
1476,ἀμηχανία,"
		want of means
    	",1
1477,νηδύς,"
		any of the cavities
    	",1
1478,ἀνδρόμεος,"
		human,
    	",1
1479,ἄκρατος,"
		unmixed, neat
    	",1
1480,γαλέη,"
		weasel
    	",1
1481,πίνη,"
		pinna
    	",2
1482,πίνος,"
		dirt, filth
    	",2
1483,πῖνον,"
		liquor made from barley, beer
    	",2
1484,μηλών,"
		orchard
    	",5
1485,βουλεύω,"
		take counsel, deliberate
    	",1
1486,μεγαλήτωρ,"
		greathearted
    	",2
1487,ἆσσον,"
		nearer,
    	",2
1488,ξίφος,"
		sword,
    	",1
1489,ὀξύς,"
		sharp, keen,
    	",1
1490,μηρός,"
		thigh
    	",1
1491,ἧπαρ,"
		liver
    	",1
1492,ἐπιμαίομαι,"
		strive after, seek to obtain, aim at
    	",1
1493,ἕτερος,"
		D Mort.
    	",1
1494,προστίθημι,"
		put to
    	",1
1495,στενάχω,"
		groan, sigh, wail
    	",1
1496,κλυτός,"
		renowned, glorious
    	",1
1497,ῥᾴδιος,"
		easy, ready
    	",1
1498,ἀφαιρέω,"
		take away from
    	",1
1499,ἀφελής,"
		without a stone, even, smooth,
    	",1
1500,ἄψ,"
		abs) backwards, back again,
    	",1
1501,φαρέτρα,"
		quiver
    	",1
1502,πῶμα,"
		lid, cover
    	",1
1503,πῶμα2,"
		drink, draught
    	",1
1504,πωμάζω,"
		furnish with a lid
    	",1
1505,ῥοῖζος,"
		whistling
    	",1
1506,ῥοιζέω,"
		whistle
    	",1
1507,ῥοιζόω,"
[definition unavailable]
",1
1508,τρέπω,"
		Studien zum griech. Perf.
    	",1
1509,βυσσοδομεύω,"
		build in the deep
    	",1
1510,τίζω,"
		to be always asking 'what?
    	",1
1511,εὖχος,"
		thing prayed for, object of prayer
    	",1
1512,Ἀθῆναι,"
		the city of Athens
    	",1
1513,ἀριστάω,"
		take the
    	",1
1514,ἀριστεύς,"
		those who excel in valour,
    	",2
1515,βουλεύς,"
[definition unavailable]
",2
1516,βουλή,"
		will, determination
    	",2
1517,ῥόπαλον,"
		club, cudgel
    	",1
1518,χλωρός,"
		greenish-yellow, pale green,
    	",1
1519,ἐλαίνεος,"
[definition unavailable]
",1
1520,ἐκτέμνω,"
		cut out,
    	",1
1521,αὐαίνω,"
		dry,
    	",1
1522,ἐίσκω,"
		to make like
    	",1
1523,εἰσοράω,"
		look into, look upon, behold,
    	",1
1524,εἰκόσορος,"
		with twenty oars
    	",1
1525,μέλαινα,"
[definition unavailable]
",1
1526,φορτίς,"
		of burden, merchantman,
    	",1
1527,ἐκπεράω,"
		go out over, pass beyond,
    	",1
1528,μῆκος,"
		length
    	",1
1529,πάχος,"
		thickness
    	",1
1530,ὄργυια,"
		the length of the outstretched arms,
    	",1
1531,ἀποκόπτω,"
		cut off, hew off,
    	",1
1532,παράστασις,"
		putting aside, removal
    	",1
1533,παραστάς,"
		anything that stands beside
    	",1
1534,παραστάζω,"
		drop upon
    	",1
1535,ἀποξύνω,"
		bring to a point, make taper,
    	",1
1536,ὁμαλός,"
		even, level,
    	",1
1537,ποιέω,"
		make
    	",1
1538,θοόω,"
		make sharp
    	",1
1539,Ἄκρων,"
[definition unavailable]
",2
1540,ἄκρον,"
		highest
    	",1
1541,ἄκρων,"
[definition unavailable]
",2
1542,ἄφαρ,"
		straightway, forthwith,
    	",1
1543,λαβή,"
		the part intended for grasping, a handle, haft
    	",1
1544,πυρακτέω,"
		turn in the fire
    	",1
1545,Πύρις,"
[definition unavailable]
",3
1546,κήλας,"
		adjutant, Leptoptilus argala
    	",1
1547,κήλεος,"
		burning
    	",1
1548,κηλέω,"
		charm, bewitch, beguile
    	",1
1549,κατακρύπτω,"
		hide, conceal
    	",1
1550,κόπρον,"
[definition unavailable]
",1
1551,κόπρος,"
		excrement, ordure
    	",1
1552,ἤλιθα,"
		very much, exceedingly
    	",1
1553,κλῆρος,"
		a beetle destructive in bee-hives, Clerus apiarius
    	",1
1554,παλάσσω,"
		besprinkle, defile
    	",1
1555,ἀνοίγνυμι,"
		open,
    	",1
1556,τολμάω,"
		Bodl. Quarterly Record
    	",1
1557,μοχλός,"
		bar, lever, crowbar
    	",1
1558,τρίβω,"
		rub,
    	",1
1559,ὕπνος,"
		sleep, slumber,
    	",2
1560,ἱκάνω,"
		come
    	",1
1561,ἱκανός,"
		sufficing, becoming, befitting
    	",1
1562,ἱκανόω,"
		make sufficient, qualify
    	",1
1563,ἔλαχος,"
[definition unavailable]
",1
1564,τέσσαρες,"
		four
    	",1
1565,πέμπτος,"
		fifth : with four others
    	",1
1566,πεμπτός,"
		sent
    	",1
1567,λέγω,"
		lay
    	",1
1568,Ἑσπέριος,"
		towards evening,
    	",2
1569,ἑσπέριος,"
		at even, at eventide
    	",2
1570,καλλίθριξ,"
		with beautiful manes
    	",2
1571,καλλίτριχον,"
[definition unavailable]
",2
1572,καλλίτριχος,"
		producing luxuriant hair
    	",2
1573,προσαυδάω,"
		speak to, address, accost
    	",4
1574,κισσύβιον,"
		rustic drinking-cup
    	",1
1575,τῆ,"
		there!
    	",1
1576,τῇ,"
		here, there
    	",1
1577,πῖος,"
		unctuous
    	",1
1578,κεύθω,"
		custos
    	",1
1579,αὗ,"
		bow wow,
    	",1
1580,αὖ,"
		again, anew, afresh, once more,
    	",1
1581,αὖ2,"
		bow wow
    	",1
1582,λοιβή,"
		pouring.
    	",1
1583,ἐλεάω,"
[definition unavailable]
",1
1584,ἐλεέω,"
		to have pity on, show mercy to
    	",1
1585,πέμπω,"
		send
    	",1
1586,μαίνομαι,"
		rage, be furious
    	",1
1587,ἀνεκτός,"
		bearable, sufferable, tolcrable,
    	",1
1588,ὕστερον,"
		the afterbirth,
    	",1
1589,ὕστερος,"
		latter, last,
    	",2
1590,ἄλλοτε,"
		at another time
    	",4
1591,ἐρέσσω,"
		row,
    	",1
1592,ῥέζω,"
		y
    	",1
1593,ῥέζω2,"
		dye
    	",1
1594,δέχομαι,"
		take, accept, receive,
    	",1
1595,ἐκπίνω,"
		drink out
    	",2
1596,αἶνος,"
		tale, story
    	",2
1597,αἰνέω,"
		tell, speak of
    	",2
1598,αἰνός,"
		dread, horrible
    	",2
1599,αἰτέω,"
		ask, beg
    	",1
1600,δεύτερος,"
		second,
    	",1
1601,αὖθις,"
		back, back again,
    	",3
1602,πρόφρων,"
		with forward mind
    	",1
1603,προφράζω,"
		tell
    	",1
1604,τέος,"
		thing
    	",1
1605,τεός,"
		your
    	",1
1606,χαίρω,"
		rejoice, be glad,
    	",1
1607,ζείδωρος,"
		zea-giving
    	",1
1608,ἄρουρα,"
		a ro u ra i
    	",1
1609,ἀμβρόσιος,"
		immortal, divine,
    	",1
1610,ἀμβροσία,"
		immortality,
    	",1
1611,ἀμβροσίη,"
		ambrosia
    	",1
1612,νέκταρ,"
		nectar,
    	",1
1613,ἀπορρώξ,"
		broken off, abrupt, sheer, precipitous,
    	",1
1614,φάτης,"
		talker, liar,
    	",1
1615,φάτις,"
		voice from heaven
    	",1
1616,φατός,"
		slain, dead,
    	",1
1617,αἶθοψ,"
		fiery-looking
    	",1
1618,ἀφραδία,"
		folly, thoughtlessness,
    	",1
1619,μειλίχιος,"
		gentle, soothing
    	",1
1620,ἐρωτάω,"
		ask,
    	",1
1621,ἐξεράω,"
		evacuate,
    	",1
1622,ἐξερέω,"
		will speak
    	",1
1623,ἐξερέω2,"
		inquire into
    	",1
1624,ὑφίστημι,"
		place
    	",1
1625,Οὖτις,"
		Nobody, Noman
    	",1
1626,κικλήσκω,"
		call, summon
    	",1
1627,μήτηρ,"
		mother
    	",1
1628,πατήρ,"
		pitṛ[snull ]u
    	",1
1629,πύματος,"
		hindmost, last
    	",1
1630,πρόσθεν,"
		before
    	",1
1631,ἀνακλίνω,"
		lean
    	",1
1632,πίπτω,"
		Exc. ex libris Herodiani
    	",1
1633,ὕπτιος,"
		laid on one's back,
    	",1
1634,ἀποδοχμόω,"
		bend sideways,
    	",1
1635,παχύς,"
		thick, stout
    	",1
1636,πῆχυς,"
		forearm
    	",1
1637,αὐχήν,"
		neck, throat,
    	",1
1638,κάδος,"
		jar
    	",4
1639,πανδαμάτωρ,"
		the all-subduer, all-tamer
    	",1
1640,φάρυγξ,"
		throat,
    	",1
1641,ἐκσεύομαι,"
		rush out
    	",2
1642,ψωμός,"
		morsel, bit,
    	",1
1643,ἐρεύγομαι,"
		belch out, disgorge,
    	",1
1644,ἐρεύγομαι2,"
		bellow, roar,
    	",1
1645,οἰνοβαρείων,"
		to be heavy
    	",1
1646,σποδέω,"
		pound, smite, crush
    	",1
1647,σποδόομαι,"
		to be burnt to ashes
    	",1
1648,σποδός,"
		wood-ashes, embers
    	",1
1649,θερμαίνω,"
		warm, heat
    	",1
1650,θάρσυνος,"
		relying on
    	",1
1651,θαρσύνω,"
		encourage, embolden
    	",1
1652,ὑποδείδω,"
		shrink in fear under, cower before,
    	",1
1653,ἀναδύνω,"
		come to the top of the water,
    	",1
1654,τάχα,"
		quickly, presently, forthwith
    	",1
1655,ταχύς,"
		swift, fleet
    	",1
1656,τήκω,"
		melt, melt down
    	",1
1657,ἐλάινος,"
		of olive-wood
    	",1
1658,ἅπτω,"
		fasten
    	",1
1659,διαφαίνω,"
		show through, let
    	",1
1660,ἱστάω,"
[definition unavailable]
",1
1661,θάρσος,"
		courage
    	",1
1662,ἐμπνέω,"
		blow
    	",1
1663,δαίμων,"
		god, goddess,
    	",1
1664,ἐνερείδω,"
		thrust in,
    	",1
1665,ἐφύπερθε,"
		above, atop
    	",1
1666,ἐρείδω,"
		cause to lean, prop,
    	",1
1667,τρυπάω,"
		bore, pierce through,
    	",1
1668,δόρυ,"
		stem, tree,
    	",1
1669,τρύπανον,"
		borer, auger,
    	",1
1670,ἔνερθε,"
		from beneath, up from below,
    	",1
1671,ὑποσείω,"
		rotate, spin round,
    	",1
1672,ἱμάς,"
		leathern strap
    	",1
1673,ἑκάτερθε,"
		on each side, on either hand,
    	",1
1674,τρέχω,"
		run,
    	",1
1675,ἐμμένω,"
		abide in
    	",1
1676,ἐμμενής,"
		abiding in
    	",1
1677,πυριηκής,"
		with fiery point
    	",1
1678,αἷμα,"
		blood
    	",1
1679,αἱμάς,"
		gush, stream of blood
    	",1
1680,περιρρέω,"
		flow round
    	",1
1681,θέρμος,"
		lupine, Lupinus albus
    	",1
1682,θέρμω,"
		heat, make hot
    	",1
1683,θερμός,"
		hot
    	",1
1684,βλέφαρον,"
		eyelids
    	",1
1685,βλεφαρίς,"
		eyelash
    	",1
1686,ὀφρύη,"
[definition unavailable]
",1
1687,ὀφρύς,"
		the brow, eyebrow
    	",1
1688,ὀφρυάω,"
		to have ridges
    	",1
1689,ὀφρυάζω,"
		signify
    	",1
1690,εὕω,"
		singe
    	",1
1691,ἀυτμή,"
		breath
    	",1
1692,γλήνη,"
		eyeball
    	",1
1693,σφαραγέομαι,"
		burst with a noise, crackle, sputter
    	",2
1694,ῥίζα,"
		root
    	",1
1695,χάλκεος,"
		of copper
    	",1
1696,χαλκεύς,"
		coppersmith,
    	",1
1697,χαλκόω,"
		turn to bronze,
    	",1
1698,χαλκοῦς,"
		copper coin
    	",1
1699,πέλεκυς,"
		axe
    	",1
1700,σκέπαρνον,"
		carpenter's axe, adze
    	",1
1701,ὑδατίς,"
		watery vesicle, hydatid,
    	",1
1702,ψυχρός,"
		cold,
    	",1
1703,βάπτης,"
		dipper, bather
    	",1
1704,βάπτω,"
		dip,
    	",1
1705,βαπτός,"
		dipped, dyed,
    	",1
1706,ἰάχω,"
		cry, shout
    	",1
1707,φαρμάσσω,"
		treat by using
    	",1
1708,σίδηρον,"
[definition unavailable]
",1
1709,σίδηρος,"
		iron
    	",1
1710,σιδήρεος,"
		made of iron
    	",1
1711,σιδηρόω,"
		overlay with iron
    	",1
1712,σίζω,"
		hiss
    	",1
1713,σμερδαλέος,"
		terrible to look on, fearful
    	",1
1714,οἰμώσσω,"
[definition unavailable]
",1
1715,οἰμώζω,"
		wail aloud, lament,
    	",1
1716,ἐξερύω,"
		draw out of,
    	",1
1717,ἐκρύομαι,"
		deliver,
    	",1
1718,φύρω,"
		mix
    	",1
1719,αἱματίς,"
		blood-redcloak
    	",1
1720,ῥίπτω,"
		throw, cast, hurl
    	",1
1721,ἄλυς,"
		agitation,
    	",1
1722,ἀλύω,"
		to be deeply stirred, excited:
    	",1
1723,ἠπύω,"
		call to
    	",1
1724,ἀμφίς,"
		on both sides,
    	",1
1725,ἀκρία,"
		goddess of the citadel
    	",1
1726,ἠνεμόεις,"
		windy, airy
    	",1
1727,βόα,"
		fish
    	",1
1728,βόειος,"
		of an ox
    	",1
1729,βοάω,"
		cry aloud, shout
    	",1
1730,βοείη,"
		an ox-hide, ox-hide shield
    	",1
1731,βοεύς,"
		rope of ox-hide
    	",1
1732,βοή,"
		loud cry, shout
    	",1
1733,φοιτάω,"
		go to and fro, backwards and forwards,
    	",1
1734,ἄλλοθεν,"
		from another place
    	",2
1735,ἕε,"
		him
    	",1
1736,τίπτε,"
		why pray?
    	",1
1737,Πολύφημος,"
		Polyphēmus.
    	",2
1738,πολύφημος,"
		abounding in songs and legends,
    	",2
1739,ἀράω2,"
		to damage
    	",1
1740,ἀρέομαι,"
[definition unavailable]
",1
1741,ἀρημένος,"
		distressed, worn out,
    	",1
1742,ἀοιδή,"
		song,
    	",1
1743,ὧδε,"
		in this wise, thus,
    	",1
1744,ᾠδή,"
		song, lay, ode,
    	",1
1745,ᾠδός,"
		singer,
    	",1
1746,ἄυπνος,"
		sleepless, wakeful
    	",1
1747,ἄμμος,"
[definition unavailable]
",1
