,word,definition,frequency
206,καταλέγω2,"
		recount, tell at length and in order
    	",1
207,κήδω,"
		trouble, distress
    	",1
208,ἕπομαι,"
		follow
    	",1
209,ἔπειμι,"
		sum
    	",1
210,ἔπειμι2,"
		ibo
    	",1
211,ἔπος,"
		vácas
    	",1
212,ἐπεί,"
		after that, since, when,
    	",11
213,πολύς,"
		many,
    	",1
214,δίδωμι,"
		Aër.
    	",1
215,Οὐρανίωνες,"
		the heavenly ones, gods
    	",1
216,νῦν,"
		now,
    	",1
217,νῦν2,"
		now, even now,
    	",1
218,ὄνομα,"
		name
    	",1
219,ὀνομάζω,"
		speak of by name, call
    	",1
220,μυθέομαι,"
		speak
    	",1
221,μυθέω,"
[definition unavailable]
",1
222,εἶδον,"
		to see
    	",1
223,οἶδα,"
		to know
    	",1
224,ἄν,"
		he came,
    	",2
225,ἄν2,"
",1
226,ἄνω,"
		accomplish, finish,
    	",1
227,ἐάν,"
		if haply, if
    	",1
228,φεύγω,"
		flee, take flight,
    	",1
229,φυγή,"
		flight
    	",1
230,ὑπό,"
		úpa
    	",6
231,νηλεής,"
		pitiless, ruthless,
            relentless;
    	",1
232,νηλής,"
		pitiless, ruthless,
    	",3
233,ἦμαρ,"
		day
    	",2
234,ξένος,"
		foreign
    	",1
235,ἑός,"
		his, her own,
    	",1
236,ἠώς,"
		dawn
    	",1
237,ἀπόπροθι,"
		far away,
    	",2
238,ναίω,"
		dwell, abide
    	",1
239,ναίω2,"
		to run over, to be full
    	",1
240,νήιος,"
		of
    	",1
241,ἕννυμι,"
		ves-,
    	",1
242,ἕζομαι,"
		seat oneself, sit
    	",1
243,εἷμα,"
		garment
    	",1
244,εἶμι,"
		to go
    	",1
245,εἶμι2,"
		ibo
    	",1
246,Λαερτιάδης,"
		son of
            Laertes
    	",1
247,ὅσος,"
		as great as, how great
    	",1
248,πᾶσις,"
		acquisition, possession
    	",3
249,δόλος,"
[definition unavailable]
",1
250,δολόω,"
		beguile, ensnare, take by craft,
    	",1
251,ἄνθρωπος,"
		man,
    	",5
252,μέλω,"
		to be an object of care
    	",1
253,κλέος,"
		rumour, report
    	",2
254,οὐρανός,"
		heaven
    	",2
255,ἵκω,"
		come
    	",1
256,ναιετάω,"
		dwell
    	",1
257,Ἰθάκη,"
		to Ithaca
    	",2
258,εὐδείελος,"
		clear, distinct
    	",1
259,ὅρος,"
		boundary, landmark,
    	",1
260,ὄρος,"
		mountain, hill,
    	",1
261,ὀρός,"
		the watery
    	",1
262,ἀυτέω,"
		to cry
    	",1
263,ἀυτή,"
		to cry
    	",1
264,αὐτός,"
		self
    	",1
265,ἑαυτοῦ,"
		Stadtrecht von Gortyn
    	",1
266,Νήριτος,"
[definition unavailable]
",1
267,νήριτος,"
		countless, immense,
    	",1
268,εἰνοσίφυλλος,"
		with quivering foliage
    	",1
269,ἀριπρεπής,"
		very distin guished,
    	",1
270,ἀμφί,"
		abhitas
    	",5
271,νέω,"
		swim,
    	",1
272,νέω2,"
		spin,
    	",1
273,νέω3,"
		heap, pile up,
    	",1
274,νέω4,"
		next year,
    	",1
275,νῆσος,"
		island,
    	",4
276,νησόομαι,"
		become an island,
    	",1
277,μάλα,"
		very, exceedingly
    	",2
278,μάλη,"
		arm-pit
    	",2
279,μᾶλον,"
		apple
    	",2
280,μαλός,"
		white-tailed
    	",2
281,μῆλον2,"
		apple
    	",5
282,σχεδόν,"
		near, hard by
    	",1
283,ἀλλήλων,"
		of one another, to one another, one another
    	",1
284,τε,"
		both . . and
    	",1
285,Σάμη,"
		Same
    	",1
286,ὑλήεις,"
		woody, wooded,
    	",1
287,Ζάκυνθος,"
		Zacynthus
    	",1
288,χθαμαλός,"
		near the ground, on the ground, low,
    	",1
289,πανυπέρτατος,"
		highest of all
    	",1
290,εἰνάς,"
		the ninth day of the month
    	",2
291,ἅλς,"
		sea
    	",1
292,ἁλίς,"
[definition unavailable]
",1
293,κέω,"
[definition unavailable]
",1
294,κεῖμαι,"
		Aër.
    	",1
295,πρός,"
		on the side of, in the direction of,
    	",1
296,ζόφος,"
		nether darkness
    	",1
297,αἶα,"
		earth,
            land;
    	",1
298,αἶα2,"
		avia.
    	",1
299,αἶα3,"
[definition unavailable]
",1
300,αἰάζω,"
		cry
    	",1
301,αἰαῖ,"
		ah!
    	",1
302,ἄνευθε,"
		without,
    	",1
303,ἥλιος,"
		sun
    	",2
304,ἠέλιος,"
		sun;
    	",2
305,τραχύς,"
		jagged,
    	",1
306,ἄλλος,"
		other, another
    	",1
307,ἀλλά,"
		otheruise
    	",1
308,ἀναλάζομαι,"
		take again,
    	",1
309,ἐλλός,"
		young deer
    	",4
310,ἀγάω,"
[definition unavailable]
",1
311,ἀγαθός,"
		good:
    	",1
312,γαθέω,"
		be delighted
    	",1
313,γηθέω,"
		rejoice
    	",1
314,κουροτρόφος,"
		rearing children
    	",1
315,ἀείδω,"
		Il.Parv..
    	",2
316,ἥδομαι,"
		swād-
    	",1
317,ἧσις,"
		Jewsand Christians in Egypt
    	",2
318,κάθημαι,"
		to be seated, sit
    	",3
319,γαῖα,"
		land, country
    	",6
320,δύναμαι,"
		to be able, strong enough
    	",1
321,γλυκερός,"
		sweet
    	",1
322,γλυκύς,"
		sweet to the taste
    	",1
323,ἁμός,"
		our, ours
    	",1
324,ἄμη,"
		shovel,
    	",2
325,ἀμάω,"
		reap corn,
    	",2
326,ἀμάω2,"
		draw, gather
    	",2
327,ἀμίς,"
		chamber-pot,
    	",2
328,ἐγώγε,"
[definition unavailable]
",11
329,ἡμός,"
[definition unavailable]
",1
330,αὐτόθεν,"
		from the very spot
    	",2
331,αὐτόθι,"
		on the spot,
    	",2
332,ἐρύκω,"
		keep in, curb, restrain,
    	",1
333,Καλυψώ,"
		Calypso
    	",1
334,καλύπτω,"
		oc-culo, celo.
    	",1
335,Δίη,"
[definition unavailable]
",5
336,Δίον,"
[definition unavailable]
",5
337,Δῖα,"
[definition unavailable]
",5
338,Ζεύς,"
		dyaús
    	",1
339,δῖος,"
		heavenly,
    	",5
340,διά,"
		through;
    	",5
341,διάζομαι,"
		set the warp in the loom,
    	",5
342,θέα,"
		a seeing, looking at, view
    	",2
343,θέα2,"
		seeing, looking at
    	",2
344,θεά,"
		goddess
    	",2
345,σπέος,"
		cavern, grotto
    	",1
346,γλαφυρός,"
		hollow, hollowed
    	",1
347,λιλαίομαι,"
		long
    	",1
348,πόσις,"
		drinking, drink, beverage,
    	",2
349,πούς,"
		foot,
    	",1
350,οὖς,"
		Cultes Egyptiens
    	",6
351,ὡς,"
		as, how;
    	",6
352,ὦσις,"
		thrusting, pushing,
    	",6
353,ὠθέω,"
		thrust, push,
    	",1
354,αὔτως,"
		in this very manner, even so,
    	",1
355,Κίρκη,"
		Circe
    	",1
356,κίρκη,"
		bird
    	",1
357,κατερητύω,"
		hold back, detain
    	",1
358,Μέγαρα,"
		to Megara
    	",1
359,Μέγαρα2,"
[definition unavailable]
",1
360,μέγαρον,"
		large room, hall
    	",1
361,δολόεις,"
		subtle, wily,
    	",1
362,πότε,"
		when? at what time?
    	",1
363,πότος,"
		drinking-bout, carousal,
    	",2
364,ποτέ,"
		at some time
    	",1
365,ποτέ2,"
		at some time, once, some day.
    	",1
366,ποτός,"
		drunk, for drinking,
    	",2
367,στῆθος,"
		breast
    	",1
368,πείθω,"
		persuade
    	",1
369,οὐδείς,"
		not one
    	",2
370,γλύκιος,"
		sugary, sickly
    	",1
371,πατρίς,"
		of one's fathers
    	",1
372,ἔδω,"
		eat
    	",1
373,οὐδέ,"
		but not
    	",5
374,οὐδέ2,"
		and) in no wise
    	",5
375,οὐδέ3,"
		and not yet, not as yet
    	",5
376,οὐδός,"
		threshold
    	",1
377,τοκεύς,"
		one who begets, father,
    	",2
378,γίγνομαι,"
		come into a new state of being
    	",1
379,εἶα,"
		on! up! away
    	",6
380,εἰάζω,"
		cry
    	",1
381,πέρ,"
		all
    	",5
382,πίων,"
		fat
    	",7
383,οἶκος,"
		house,
    	",3
384,ἀλλοδαπός,"
		aliud
    	",1
385,ἀπάνευθε,"
		afar off, far away,
    	",1
386,ἄγε,"
		come on!
    	",2
387,ἄγω,"
		lead, carry, fetch, bring
    	",1
388,ἀγός,"
		leader, chief
    	",1
389,νόστος,"
		return home,
    	",1
390,πολυκηδής,"
		full of care, grievous,
    	",1
